Start Experiment 02/07/2024 19:57:36

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:20:45
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:31:02
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 6.61764705882353, 38.37603288226657, 100.0, 929.3686837676036
Experiment 1, 10.294117647058822, 38.04676294326782, 100.0, 877.4530139475687
Experiment 2, 5.147058823529411, 38.18949883324759, 100.0, 656.3624708368548
Experiment 3, 8.088235294117647, 33.477028673345394, 100.0, 596.1647084713271
Experiment 4, 5.88235294117647, 39.02898520231247, 100.0, 753.019380080253
Summary,7.205882352941176 ± 1.8249520067633611,                 37.42366170688797 ± 2.0017366628501505,                 100.0 ± 0.0,                 762.4736514207215 ± 126.55578692858977
End Experiment
