Start Experiment 02/07/2024 19:29:34

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 19:30:14
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 19:43:02
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 19:44:09
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:03
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:18
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 4.761904761904762, 18.801914423704147, 100.0, 809.4192134541419
Experiment 0, 5.555555555555555, 17.458432146481105, 100.0, 851.8746246287226
Experiment 1, 35.714285714285715, 58.05801998774211, 100.0, 837.0512604818861
Experiment 1, 20.238095238095237, 56.715348276437496, 100.0, 837.7157274519509
Experiment 2, 42.857142857142854, 64.68717219652953, 100.0, 870.8224376474119
Experiment 2, 21.825396825396826, 58.33595543774692, 100.0, 767.1895279844895
Experiment 3, 0.3968253968253968, 10.242640495300293, 100.0, 830.8966112398161
Experiment 3, 10.714285714285714, 15.018850127855936, 100.0, 828.6452459271983
Experiment 4, 55.55555555555556, 51.43634712525776, 100.0, 878.123529827097
Summary,25.71428571428571 ± 18.273626405852237,                 40.33021742046137 ± 19.31818235017327,                 100.0 ± 0.0,                 824.0857555349625 ± 36.225025845945076
End Experiment
Experiment 4, 12.698412698412698, 15.107778195291758, 100.0, 903.3714893543421
Summary,16.349206349206348 ± 14.846574045784143,                 32.84227426200804 ± 23.00408477955022,                 100.0 ± 0.0,                 858.9361780644488 ± 26.08513149339838
End Experiment
Start Experiment 02/08/2024 20:34:51
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 5.158730158730158, 14.515254873495836, 100.0, 781.5200349081156
Experiment 1, 3.968253968253968, 46.947230982780454, 100.0, 841.46714164694
Experiment 2, 7.5396825396825395, 13.84876757546475, 100.0, 942.4992419066605
Experiment 3, 8.333333333333332, 18.06607232207344, 100.0, 603.5060275518204
Experiment 4, 1.5873015873015872, 15.947217762470245, 100.0, 419.8514262117898
Summary,5.317460317460317 ± 2.441040714163444,                 21.864908703256944 ± 12.624175575882628,                 100.0 ± 0.0,                 717.7687744450652 ± 185.2997646898026
End Experiment
