Start Experiment 02/06/2024 16:05:51

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1554.330838109369
Experiment 1, 0.0, -1, 100.0, 1546.407501172249
Experiment 2, 0.0, -1, 100.0, 1673.9644483504314
Experiment 3, 0.0, -1, 100.0, 1568.7648485766213
Experiment 4, 4.166666666666666, 62.566136837005615, 100.0, 1624.4404774540392
Summary,0.8333333333333333 ± 1.6666666666666665,                 11.713227367401123 ± 25.426454734802245,                 100.0 ± 0.0,                 1593.581622732542 ± 48.57069422411927
End Experiment
