Start Experiment 02/06/2024 16:01:26

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1576.2115503749292
Experiment 1, 0.0, -1, 100.0, 1635.8090831895443
Experiment 2, 4.166666666666666, 52.38793420791626, 100.0, 1593.5864489799087
Experiment 3, 0.0, -1, 100.0, 1615.0746162658136
Experiment 4, 0.0, -1, 100.0, 1643.2114042121593
Summary,0.8333333333333333 ± 1.6666666666666667,                 9.677586841583253 ± 21.3551736831665,                 100.0 ± 0.0,                 1612.778620604471 ± 25.16870357372681
End Experiment
