Start Experiment 02/05/2024 13:45:33
Experiment,validity,proximity,validity_without_chem,proximity_without_chem
Experiment 0,100.0,202.50047653913498,100.0,3219.659049932143
Experiment 1,100.0,219.98630285263062,100.0,3648.848554471868
Experiment 2,100.0,224.17555332183838,100.0,3676.9473794624287
Experiment 3,75.0,241.87170044581094,100.0,3575.5548835376985
Experiment 4,100.0,214.57943004369736,100.0,3481.9867413863253
Summary,95.0 ± 10.0,220.62269264062243 ± 12.880092258456518,100.0 ± 0.0,3520.599321758092 ± 164.9052292559246
End Experiment
